iter	Passed	Remaining
636	2488	320
637	2492	316
638	2496	312
639	2500	308
640	2504	304
641	2509	300
642	2512	297
643	2516	293
644	2521	289
645	2525	285
646	2529	281
647	2533	277
648	2537	273
649	2541	269
650	2545	265
651	2549	261
652	2553	258
653	2557	254
654	2561	250
655	2565	246
656	2569	242
657	2573	238
658	2577	234
659	2581	230
660	2585	226
661	2589	222
662	2593	219
663	2597	215
664	2601	211
665	2605	207
666	2609	203
667	2613	199
668	2617	195
669	2621	191
670	2625	187
671	2629	183
672	2633	179
673	2637	176
674	2640	172
675	2644	168
676	2648	164
677	2652	160
678	2656	156
679	2660	152
680	2664	148
681	2668	144
682	2672	140
683	2676	136
684	2679	133
685	2683	129
686	2687	125
687	2691	121
688	2695	117
689	2699	113
690	2703	109
691	2707	105
692	2711	101
693	2715	97
694	2719	93
695	2722	89
696	2727	86
697	2730	82
698	2735	78
699	2739	74
700	2742	70
701	2746	66
702	2750	62
703	2754	58
704	2758	54
705	2762	50
706	2766	46
707	2770	43
708	2774	39
709	2778	35
710	2782	31
711	2786	27
712	2790	23
713	2793	19
714	2797	15
715	2802	11
716	2806	7
717	2810	3
718	2814	0
